transcript_id,s1,s10,s11,s12,s2,s3,s4,s5,s6,s7,s8,s9
NM_146130,2338,7463,1851,3686,2318,4468,5624,7451,4318,2026,3942,2483
NM_001281816,0,1,0,0,0,0,0,0,0,0,0,1
NM_146640,0,0,0,0,0,0,0,0,0,0,0,0
NR_028553,0,0,0,0,0,0,0,0,0,0,0,0
NM_146642,0,0,0,0,0,0,0,0,0,0,0,0
NM_146643,0,0,0,0,0,0,0,0,0,0,0,0
NR_040330,0,0,4,0,0,0,2,0,0,0,0,0
NR_040331,0,0,0,0,0,0,0,0,0,0,0,4
NR_045877,37,24,26,17,18,9,17,12,6,4,16,22
NR_040333,0,0,0,0,0,0,0,0,0,0,0,0
NR_040334,50,57,54,44,58,41,64,39,39,45,61,51
NR_040335,7,3,5,0,0,3,0,5,10,0,6,0
NR_040336,0,0,0,0,0,0,0,0,0,0,0,5
NM_175112,962,1080,894,737,829,737,813,878,962,658,1482,1032
NM_175113,325,449,347,291,316,222,337,495,524,429,869,396
NM_019729,2370,2705,2300,1726,2038,1794,2152,2323,2579,1761,3700,2535
NM_001163566,0,14,5,4,2,2,0,5,27,2,9,6
NM_001038641,0,17,60,47,3,44,0,1,0,0,0,82
NR_037254_1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145821,86,177,0,63,0,135,118,0,0,0,70,50
NM_001145820,0,305,130,0,190,0,312,158,145,0,512,0
NM_001145824,517,1577,1482,667,4,1021,1887,550,724,617,3125,1450
NM_001145351,15,19,0,12,19,6,12,13,13,18,31,15
NM_001177709,0,0,0,0,0,0,0,53,0,0,0,0
NM_010576,5,11,5,5,6,11,5,11,19,20,49,7
NM_008491,48,277,177,122,38,42,54,3940,2371,4943,16067,223
NM_001130000,1475,1822,198,137,1310,232,671,1150,1332,267,2177,1607
NR_037217,4,5,5,10,3,3,13,4,4,5,4,13
NM_001177706,38,50,23,32,53,27,34,1272,54,46,111,95
NM_001252538,325,358,527,160,285,287,301,358,404,0,347,227
NM_026104,0,0,0,0,0,0,0,0,0,0,0,0
NM_001252533,1,0,1,0,0,147,1,0,229,298,1,1
NM_001252536,1,3,8,7,2,0,3,2,4,66,2,1
NM_001252537,642,448,526,203,342,442,394,561,482,490,1119,789
NM_008948,2804,3444,2902,2294,2495,2248,2595,3698,4473,2902,6371,3039
NM_146730,0,0,0,0,0,0,0,0,0,0,0,0
NM_027085,5,31,10,0,4,9,6,9,17,3,10,11
NM_001005424,24,29,35,22,32,16,20,22,24,11,30,30
NM_001005425,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005420,209,183,204,130,163,125,140,182,209,118,304,202
NM_178750,212,233,175,181,229,170,226,229,248,176,397,202
NM_029859,0,0,0,0,0,0,0,0,0,0,0,0
NM_009301,0,0,0,0,0,0,0,0,0,0,0,0
NM_009300,0,0,0,0,0,0,0,0,0,0,0,0
NM_027715,916,874,772,697,694,682,738,503,472,379,800,1061
NR_028486,0,0,0,0,0,0,0,0,0,0,0,0
NR_028487,0,0,0,0,0,0,0,0,0,0,0,0
NM_177244,249,277,207,194,239,200,262,209,207,160,377,215
NM_026045,1223,1472,1201,950,1181,1036,1063,1058,1135,818,1712,1418
NM_026044,344,437,358,265,284,244,305,283,315,221,404,395
NM_026592,293,452,368,208,361,236,298,350,394,212,437,400
NM_027062,26,12,18,6,10,22,8,24,9,10,41,31
NM_001081387,0,0,0,0,0,0,0,0,0,0,0,0
NM_015770,0,0,0,0,0,0,0,0,0,0,0,0
NM_207680,561,947,688,550,447,417,481,365,538,356,601,629
NM_207681,492,74,344,109,304,284,283,315,224,215,469,182
NM_199025,171,153,143,111,174,144,121,165,216,119,285,157
NM_199027,1563,1531,1299,1281,1283,1055,1312,1282,1396,986,2426,1488
NM_199022,89,143,129,70,66,57,90,167,267,118,254,89
NM_199023,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291151,2,0,0,0,0,0,0,0,0,0,0,0
NM_001291150,0,0,0,0,0,0,0,0,0,0,5,0
NM_001291152,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291155,204,1059,1113,722,962,627,93,275,607,523,1202,1141
NM_001291154,0,0,0,0,0,0,0,0,0,0,0,0
NM_009047,1667,1410,1351,1098,1150,915,1167,1021,1062,627,1534,1464
NM_001190400,0,0,4,0,0,0,0,1,0,0,4,0
NM_001205282,0,0,0,0,0,0,0,0,0,0,0,0
NM_001172160,0,94,58,29,52,29,35,26,4,36,43,94
NM_008545,3,7,3,4,2,3,2,7,3,2,10,2
NM_001162417,261,311,247,216,303,51,160,56,340,212,428,328
NM_001113573,1820,2011,1435,1675,1843,1765,1636,1736,2083,695,2790,1990
NM_001113574,3,24,5,4,0,0,307,9,4,584,21,224
NR_045541,0,0,0,0,0,0,0,0,0,0,0,0
NR_045542,0,0,0,0,0,0,0,0,0,0,0,0
NM_001006664,1365,1647,1386,1063,1175,1081,1292,1233,1630,907,1799,1651
NM_019501,78,89,63,51,65,59,84,75,95,114,195,88
NM_001162418,423,609,391,350,295,286,330,319,561,307,662,376
NM_013822,300,532,532,519,449,563,618,402,514,370,622,625
NM_013825,4,2,5,0,0,0,2,34,97,23,80,3
NM_013829,498,670,548,469,403,465,499,483,483,352,832,687
NM_001033136,735,746,715,543,584,558,556,704,825,582,1195,811
NM_001164819,0,0,0,0,0,0,0,0,0,0,0,0
NM_001164818,7,14,1,0,0,11,16,13,3,0,292,11
NM_001164813,1,6,2,6,1,1,2,1,13,2,2,1
NM_201367,231,402,393,220,221,115,190,957,1349,692,1437,308
NM_001081010,0,0,0,0,0,0,0,0,0,0,0,0
NM_028528,0,0,0,0,0,0,0,0,0,0,0,0
NM_001141933,18,6,6,1,2,1,23,43,0,27,19,1
NM_001141932,567,770,865,1019,330,1191,1394,703,921,975,1578,737
NM_001141931,938,451,752,672,788,782,809,782,824,1403,1422,735
NM_026446,125,294,267,87,192,0,207,293,303,239,228,43
NM_011249,162,238,222,146,133,128,182,390,686,427,642,231
NM_011246,3,5,3,0,0,3,3,3,0,5,15,0
NM_001101804,0,0,0,0,0,0,0,0,0,0,0,0
NM_001113400,3,0,0,2,23,0,0,0,0,0,50,0
NR_110572,152,179,194,145,150,123,189,139,142,96,210,209
NR_105963,0,0,0,1,1,1,2,1,0,2,0,1
NR_105962,0,1,1,0,0,0,0,0,0,0,1,0
NR_105965,1,1,1,0,2,1,1,2,1,0,2,1
NR_105964,1,4,2,3,3,1,2,1,1,1,3,2
NR_105967,4,1,1,1,1,2,1,0,2,0,3,4
NM_173180,1322,1703,1345,1116,1235,1070,1261,1526,1919,1150,2520,1465
NR_105969,1,1,1,1,0,1,1,3,1,1,1,1
NR_105968,0,0,1,1,0,0,1,0,0,0,1,1
NM_001080968,1012,1409,276,572,445,494,321,504,209,790,1422,347
NM_001271584,1370,1811,584,568,791,233,1851,897,132,220,2201,1726
NM_001111290,204,287,198,0,0,0,0,1953,1991,598,1252,492
NM_001289594,0,0,0,0,0,0,0,0,0,0,0,0
NM_001244198,0,0,0,0,0,0,0,0,0,0,0,0
NM_008792,0,2,3,4,4,5,2,0,2,0,0,15
NM_029022,384,510,369,294,327,321,299,331,366,236,438,391
NM_028518,372,468,360,434,330,304,307,176,147,188,383,457
NM_001166206,0,0,0,0,0,0,0,0,0,0,0,0
NM_026620,652,715,624,496,587,485,530,744,858,529,1053,655
NM_026627,1,0,0,0,0,1,1,2,0,0,0,0
NR_046046,0,0,0,0,0,0,0,3,3,0,2,0
NM_026624,0,0,0,0,0,0,0,0,0,0,3,0
NM_001164072,434,559,396,392,252,387,467,391,672,363,761,574
NM_001164071,70,13,136,17,142,13,19,97,56,12,381,19
NM_009730,2631,2664,2506,1790,2151,2086,2425,2164,2419,1677,3703,2762
NM_001003961,0,2,145,119,95,120,45,124,38,71,165,86
NM_001083810,477,253,235,158,444,219,347,309,300,463,427,722
NM_133673,2279,2604,2396,1794,1939,1699,1949,2080,2262,1457,3176,2543
NM_133851,20,31,39,27,41,26,46,59,280,180,225,46
NM_133850,765,962,811,647,757,538,726,829,894,544,1292,877
NM_001287738,0,0,0,2703,0,1650,0,908,0,837,0,0
NM_133852,3323,3252,3559,2774,3212,2434,3207,3182,3643,1903,5017,4031
NM_144893,923,0,881,775,701,0,771,906,1031,10,1,725
NR_015474,0,0,0,0,0,0,0,0,0,0,0,0
NM_020296,2216,2709,2087,807,1298,798,834,2125,2168,601,3681,2609
NR_015476,256,301,220,218,233,194,212,196,217,172,289,227
NR_015473,440,421,516,324,279,286,317,396,551,365,729,472
NM_010249,15,112,94,61,88,58,52,111,101,94,151,84
NM_001100591,965,871,639,490,1039,713,1013,895,985,629,1376,769
NR_077245,0,0,0,169,0,74,0,0,0,0,197,92
NM_026828,351,451,439,359,409,367,380,547,488,383,730,361
NM_138665,1704,1810,1482,1086,1507,1151,1460,2271,2785,1845,3503,1567
NM_146434,0,0,0,0,0,0,0,0,0,0,0,0
NR_024068,37,36,44,32,34,27,27,39,56,44,119,55
NR_037297,0,0,0,0,0,0,0,0,0,0,0,0
NM_001083921,2411,2604,2158,1779,1922,1741,1915,2040,2301,1427,3457,2445
NM_020615,2422,3226,2762,1988,2390,2123,2468,3179,3515,2402,4764,2902
NM_001081162,11,33,5,28,16,13,9,23,31,15,41,22
NM_001081161,6252,6099,5482,3749,4995,4396,5168,5063,5008,3448,6891,6178
NM_028248,1849,2214,1849,1522,1773,1646,1841,1590,1570,1545,3366,2082
NM_001097977_1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001126338,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145034,11860,8998,8407,6919,7415,7671,7701,6665,3838,4164,14564,9442
NM_001011734,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011732,0,0,0,0,0,0,2,0,2,0,4,0
NM_001164477,0,0,136,0,159,5,0,708,133,0,0,0
NM_024196,1478,1417,1386,1041,1213,1136,1388,1444,1785,1084,2259,1522
NR_015500,40,60,22,43,50,42,41,18,26,24,36,32
NM_207235,0,0,0,0,0,0,0,0,0,0,0,0
NM_207234,954,1053,959,814,828,712,830,899,1085,604,1704,1034
NM_001037177,0,0,0,0,0,0,0,0,0,0,0,0
NM_181399,0,0,2,412,1,0,0,0,1,0,1,0
NM_030137,44,67,18,23,32,18,29,32,35,26,44,36
NM_146817,0,0,0,0,0,0,0,0,0,0,0,0
NM_001163452,3423,3937,3135,3068,3324,3053,3330,3659,4109,2578,6105,4030
NM_080510,5,15,10,4,7,5,8,34,20,18,44,3
NM_001145015,0,0,0,0,0,0,0,0,0,0,0,0
NM_001002791,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081092,961,954,826,792,828,774,976,674,798,554,1373,908
NM_001080548,1512,1444,1278,408,919,1021,1051,1387,1388,943,2142,1417
NM_001081090,567,790,547,411,501,444,538,591,651,531,988,615
NM_146253,310,359,278,192,274,198,222,286,352,236,452,320
NM_146252,1434,1578,1406,1154,1409,1186,1333,1580,1711,1069,2365,1579
NM_146251,572,634,602,564,507,468,383,494,525,483,848,736
NM_172475,0,0,0,0,0,0,0,0,0,0,0,0
NM_172471,1331,3013,2381,2764,2062,2082,2342,1683,2201,1142,1462,3541
NM_010611,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145100,0,0,0,0,0,0,0,0,0,0,0,0
NM_025753,0,0,0,0,0,0,0,0,0,0,0,0
NM_025403,724,955,824,643,682,608,681,718,756,482,984,832
NM_172672,834,924,857,641,721,659,728,737,655,488,1087,919
NM_172673,32,91,71,45,22,31,42,70,138,81,120,58
NM_172670,0,0,0,0,0,0,0,0,0,0,0,0
NM_172671,328,381,368,365,396,338,378,319,370,272,486,462
NM_010446,0,0,0,0,0,0,0,0,0,0,0,0
NM_030059,0,0,0,0,0,0,0,0,0,0,0,0
NM_172674,1263,1344,1263,931,1071,1012,1033,1061,1140,792,1667,1440
NM_172675,365,418,572,636,347,323,846,486,588,228,1160,939
NR_030601,0,0,0,0,0,0,0,0,0,0,0,0
NM_030058,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177843,77,99,88,273,61,140,82,86,157,92,219,75
NR_030609,0,0,0,0,0,0,0,0,0,0,0,0
NM_175280,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177844,1429,1418,1061,679,1100,818,1106,1362,1566,1113,1922,1251
NM_001081548,27,56,1428,676,118,432,856,392,982,411,1539,6
NM_147030,0,0,0,0,0,0,0,0,0,0,0,0
NM_147031,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242380,0,4,7,15,14,0,0,4,0,5,9,38
NR_105755,0,0,0,0,0,0,0,0,0,0,0,0
NM_001037933,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242381,0,0,0,0,0,0,0,0,0,0,0,0
NM_027656,88,65,36,76,54,38,34,95,84,58,167,81
NM_009823,376,472,373,0,363,269,311,302,591,170,555,383
NR_040509,0,0,0,0,0,0,0,0,0,0,0,0
NR_040508,0,0,0,0,0,0,0,0,0,0,0,0
NR_040505,0,3,0,0,0,0,0,0,3,0,0,0
NR_040504,0,0,5,3,0,0,3,0,0,4,10,0
NR_040503,0,0,0,0,0,0,0,0,0,0,0,0
NR_040502,0,0,0,0,0,0,0,0,0,0,0,0
NM_001039386,15,14,11,7,7,4,7,5,7,3,14,8
NM_001039387,2829,3142,2896,2386,2601,2044,2258,2183,2428,1497,3653,2921
NM_145851,1015,974,1017,792,909,671,941,911,946,622,1540,1010
NR_040501,0,0,0,0,0,0,0,0,0,0,0,0
NM_030725,2,22,32,16,5,0,0,172,519,117,119,14
NR_029755,1,3,2,0,1,0,1,0,0,0,1,0
NR_029752,0,0,0,0,0,0,0,0,0,0,0,0
NR_027373,344,735,436,281,241,82,588,340,427,602,686,155
NR_027372,2469,2530,1337,1560,2332,1956,2954,3522,2579,2528,5987,2660
NM_001001309,44308,41153,37592,21284,24931,27062,29018,24764,21062,16711,32053,42108
NM_176950,0,0,0,0,0,0,0,0,0,0,0,0
NM_001271430,2934,886,1206,448,1777,744,627,536,1427,465,1004,2087
NM_001271431,0,0,0,0,0,0,0,0,0,0,0,0
NM_001271432,0,0,0,0,0,0,0,1,3,0,0,0
NM_009335,0,0,0,0,0,0,0,0,0,0,0,0
NM_009228,1250,1373,1071,897,1031,951,1145,1131,1200,1118,2006,1146
NM_182840,5,0,9,0,7,4,0,16,30,4,12,4
NM_009225,3090,3777,3154,2597,2959,2433,2773,3410,3985,2439,5159,3474
NM_024199,641,678,589,445,465,407,501,590,711,482,1007,629
NM_009222,1199,1549,1253,848,1157,1052,1187,1586,1671,1179,2547,1340
NM_198176,150,262,190,99,175,129,148,145,138,68,245,210
NM_178408,0,0,62,0,107,51,98,0,58,0,0,0
NR_037256_4,0,0,0,0,0,0,0,0,0,0,0,0
NM_178404,492,813,577,449,348,419,353,308,291,312,489,706
NM_175123,832,972,858,586,733,608,687,685,809,501,1046,957
NR_040348,0,0,0,0,0,0,0,0,0,0,0,0
NM_010695,0,0,0,0,0,0,0,0,0,0,0,0
NR_037256_5,0,0,0,0,0,0,0,0,0,0,0,0
NM_001141977,49,55,1,20,45,4,64,232,256,80,174,42
NM_001039701,0,8,23,10,0,0,0,38,66,60,26,3
NM_001271724,53,7,83,0,0,0,76,89,100,58,153,103
NR_027970,0,0,0,0,0,0,0,0,0,0,0,0
NM_018828,1587,1864,1520,1547,1377,1158,1471,1419,1542,1195,3094,1651
NM_001255994,0,93,0,0,0,157,111,0,0,0,176,0
NR_045896,0,0,0,0,0,0,0,0,0,0,0,0
NM_026992,219,234,179,172,184,157,178,215,230,157,334,224
NM_001255993,165,170,197,198,208,1,76,209,217,179,231,266
NM_018824,2557,2908,2762,2058,2152,2021,2338,2242,2331,1918,4155,3137
NM_001159551,800,786,1918,596,451,356,803,504,552,563,2878,673
NM_001159552,72,85,103,78,89,46,54,73,58,26,200,101
NM_001159553,350,313,336,258,268,181,273,369,409,262,853,320
NM_213733,2090,2159,1744,1712,1787,1439,1681,1585,1753,1225,2852,1903
NM_053011,0,0,0,0,0,0,0,0,0,0,0,0
NR_045335,0,0,0,0,0,0,0,0,0,0,0,0
NM_146742,0,0,0,0,0,0,0,0,0,0,0,0
NM_175667,0,5,7,5,0,4,2,0,7,3,6,10
NM_019667,1162,1292,1114,770,932,956,1028,1394,1556,1180,2098,1234
NM_080641,0,0,0,0,0,0,0,0,0,0,0,0
NM_001281829,180,152,1,0,1,92,1,207,81,0,122,0
NM_019406,41,160,63,67,74,34,110,34,88,97,174,215
NM_019401,88,127,0,0,0,0,0,0,79,0,70,65
NM_174988,361,404,395,283,326,228,404,230,291,126,212,369
NM_015765,707,888,751,565,634,536,712,910,1099,714,1548,754
NM_007694,3,3,4,6,2,3,0,0,4,0,6,6
NM_028593,128,108,168,95,130,146,101,70,89,50,86,224
NR_033471,0,0,0,0,0,0,0,0,0,0,0,0
NR_033470,0,0,0,0,0,0,0,0,0,0,0,0
NR_033473,0,0,0,0,0,0,0,0,0,0,0,0
NM_009037,10339,10347,8738,6603,9600,7662,9812,8101,9965,7003,12211,9901
NM_009036,0,0,0,0,2,0,4,0,0,0,0,0
NM_033552,0,0,0,0,0,0,0,0,0,0,0,0
